Player,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Bowling Avg,Economy Rate,Bowling Strike Rate,Ratings
Fakhar Zaman,5,99,80,1,80.0,4.84,99.0,208.9607521645022
NM Lyon,15,822,662,18,36.77,4.83,45.6,208.9582521645022
Javed Ahmadi,15,363,294,8,36.75,4.83,45.6,208.9582521645022
D Elgar,4,96,67,2,33.5,4.18,48.0,208.53289502164506
C de Grandhomme,22,756,651,13,50.07,5.16,58.1,208.33658549783547
AJ Finch,14,158,137,2,68.5,5.2,79.0,208.33658549783547
Yasir Shah,18,951,807,19,42.47,5.09,50.0,208.33658549783547
C Munro,22,474,408,7,58.28,5.16,67.7,208.33658549783547
Soumya Sarkar,6,120,105,1,105.0,5.25,120.0,208.33658549783547
Nazmul Islam,5,264,224,5,44.8,5.09,52.8,208.33658549783547
GSNFG Jayasuriya,8,174,150,2,75.0,5.17,87.0,208.33658549783547
Mohammad Saifuddin,7,282,238,6,39.66,5.06,47.0,208.33658549783547
DSK Madushanka,1,366,26,3,8.66,4.21,12.3,145.73910389610387
SS Iyer,1,6,2,0,0.0,2.0,0.0,9.43816663891664
GH Worker,1,6,5,0,0.0,5.0,0.0,9.396915556665556
DA Warner,1,6,8,0,0.0,8.0,0.0,9.396915556665556
Nasir Jamal,1,6,7,0,0.0,7.0,0.0,9.396915556665556
C Hemraj,1,7,9,0,0.0,7.71,0.0,9.366590159840161
Tamim Iqbal,2,6,13,0,0.0,13.0,0.0,9.354367937617937
Ariful Haque,1,18,17,0,0.0,5.66,0.0,9.345548340548339
Sarfraz Ahmed,1,12,15,0,0.0,7.5,0.0,9.345548340548339
TK Musakanda,1,12,11,0,0.0,5.5,0.0,9.345548340548339
PS Masvaure,1,18,19,0,0.0,6.33,0.0,9.345548340548339
C Overton,1,42,55,0,0.0,7.85,0.0,9.34063492063492
Najibullah Zadran,2,30,30,0,0.0,6.0,0.0,9.333326118326118
Hashmatullah Shahidi,2,18,25,0,0.0,8.33,0.0,9.333326118326118
Umar Amin,3,42,24,0,0.0,3.42,0.0,9.333326118326118
LRPL Taylor,4,42,35,0,0.0,5.0,0.0,9.330826118326117
C Zhuwao,2,186,21,0,0.0,6.63,0.0,9.329357864357863
BKG Mendis,2,192,28,0,0.0,8.4,0.0,9.329357864357863
DJM Short,3,42,59,0,0.0,8.42,0.0,9.328412698412698
JN Mohammed,8,146,131,0,0.0,5.38,0.0,9.317777777777778
RR Pant,0,0,0,0,0.0,0.0,0.0,2.0
H Klaasen,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
S Samarawickrama,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
E Lewis,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
SW Billings,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
N Dickwella,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
R Murray,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
BB Chari,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
JM Vince,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
PJ Moor,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
AT Carey,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
K Zondo,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
SW Poynter,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Imam-ul-Haq,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Asif Ali,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Mohammad Mithun,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Babar Azam,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
EC Joyce,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
AD Hales,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
SE Marsh,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Ihsanullah,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
CA Lynn,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Mohammad Shahzad,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Imrul Kayes,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
TD Paine,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
KOA Powell,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
HM Nicholls,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
SD Hope,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
JC Buttler,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
LD Chandimal,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
WTS Porterfield,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Q de Kock,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
DA Miller,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
S Dhawan,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
EJG Morgan,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
EJG Morgan,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Anamul Haque,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
SO Hetmyer,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Mushfiqur Rahim,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
DM Bravo,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
NJ O'Brien,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
JJ Roy,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
WU Tharanga,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
KD Karthik,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
RR Hendricks,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
KL Rahul,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
GC Wilson,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
BJ Watling,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Liton Das,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
MK Pandey,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
Shafiqullah,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
AM Rahane,0,0,0,0,0.0,0.0,0.0,1.1530490342990347
