Player,Matches Played,Innings Batted,Not Outs,Runs,Highest Score,Batting Avg,Balls Faced,Strike Rate,Centuries,Half Centuries,Ducks,Rating
Q de Kock,98,98,5,4133,178,44.44,4381,94.33,13,17,2,803
WTS Porterfield,122,120,3,3722,139,31.81,5356,69.49,11,15,9,0
Mahmudullah,168,145,38,3637,128,33.99,4784,76.02,3,20,8,0
LD Chandimal,146,132,21,3599,111,32.42,4855,74.12,4,22,11,0
SPD Smith,108,94,12,3431,164,41.84,3973,86.35,8,19,5,0
AJ Finch,96,92,1,3418,148,37.56,3817,89.54,11,18,8,744
SC Williams,122,118,16,3395,129,33.28,4179,81.23,2,29,7,0
PR Stirling,100,98,2,3346,177,34.85,3720,89.94,7,16,9,0
JC Buttler,122,101,21,3176,129,39.7,2715,116.97,6,18,11,710
KJ O'Brien,128,117,15,3172,142,31.09,3548,89.4,2,16,5,0
AM Rahane,90,87,3,2962,111,35.26,3767,78.63,3,24,6,0
DA Miller,112,100,28,2780,139,38.61,2737,101.57,5,12,8,0
DM Bravo,97,94,10,2651,124,31.55,3834,69.14,3,17,7,0
NJ O'Brien,103,101,9,2581,109,28.05,3638,70.94,1,18,3,0
JJ Roy,70,69,2,2536,180,37.85,2433,104.23,6,12,7,0
Mohammad Shahzad,76,76,3,2508,131,34.35,2826,88.74,5,13,3,0
Sikandar Raza,88,85,13,2477,141,34.4,3060,80.94,3,13,1,0
Mohammad Nabi,106,95,11,2435,116,28.98,2763,88.12,1,12,5,0
Imrul Kayes,78,78,2,2434,144,32.02,3423,71.1,4,16,2,0
CJ Chibhabha,103,103,2,2389,99,23.65,3784,63.13,0,16,7,0
AD Hales,67,65,3,2314,171,37.32,2419,95.65,6,13,5,0
SE Marsh,60,59,2,2312,151,40.56,2850,81.12,6,12,3,0
Babar Azam,54,52,8,2267,125,51.52,2674,84.77,8,9,2,781
GJ Maxwell,87,78,8,2242,102,32.02,1852,121.05,1,16,8,0
MDKJ Perera,85,81,5,2242,135,29.5,2456,91.28,4,11,8,0
TWM Latham,77,74,8,2203,137,33.37,2674,82.38,4,12,6,0
CR Ervine,84,81,11,2176,130,31.08,2943,73.93,2,12,7,0
EC Joyce,61,60,8,2151,160,41.36,2921,73.63,5,12,4,0
NLTC Perera,148,115,16,2091,140,21.12,1841,113.57,1,10,10,0
CL White,91,77,16,2072,105,33.96,2586,80.12,2,11,4,0
JM Bairstow,54,50,8,2017,141,48.02,1929,104.56,6,7,2,691
RA Jadeja,144,97,33,1982,87,30.96,2329,85.1,0,10,5,0
GC Wilson,99,93,11,1974,113,24.07,2739,72.07,1,12,6,0
BA Stokes,75,64,10,1963,102,36.35,2078,94.46,3,13,5,0
Sarfraz Ahmed,98,73,16,1894,105,33.22,2188,86.56,2,9,1,0
Azhar Ali,53,53,3,1845,102,36.9,2478,74.45,3,12,3,0
Asghar Afghan,94,88,6,1787,101,21.79,2810,63.59,1,8,6,0
Samiullah Shinwari,79,69,10,1733,96,29.37,2669,64.93,0,11,0,0
Mashrafe Mortaza,200,146,25,1714,51,14.16,1947,88.03,0,1,15,0
Rahmat Shah,53,49,2,1713,114,36.44,2424,70.66,3,12,2,0
KD Karthik,86,73,19,1663,79,30.79,2282,72.87,0,9,5,0
SD Hope,44,41,6,1662,146,47.48,2320,71.63,4,7,4,744
MM Ali,87,71,10,1621,128,26.57,1549,104.64,3,5,3,0
N Dickwella,49,46,1,1555,116,34.55,1655,93.95,2,9,1,0
AT Rayudu,45,40,12,1447,124,51.67,1815,79.72,3,9,1,0
MR Marsh,53,49,9,1428,102,35.7,1534,93.08,1,11,4,0
BKG Mendis,57,55,2,1424,102,26.86,1656,85.99,1,12,9,0
JO Holder,85,70,17,1423,99,26.84,1521,93.55,0,7,8,0
Nasir Hossain,65,52,8,1281,100,29.11,1605,79.81,1,6,4,0
Fakhar Zaman,26,26,4,1275,210,57.95,1305,97.7,3,8,2,736
TM Head,42,39,2,1273,128,34.4,1414,90.02,1,10,1,0
MN Waller,79,72,6,1259,99,19.07,1639,76.81,0,5,10,0
A Balbirnie,50,48,3,1246,105,27.68,1766,70.55,2,7,3,0
Soumya Sarkar,38,37,3,1222,127,35.94,1245,98.15,2,7,4,0
MD Gunathilaka,36,35,1,1102,116,32.41,1301,84.7,1,8,1,0
Najibullah Zadran,50,46,6,1077,89,26.92,1242,86.71,0,8,2,0
F Behardien,59,49,14,1074,70,30.68,1097,97.9,0,6,4,0
C Munro,46,42,1,1068,87,26.04,1001,106.69,0,7,6,0
Sabbir Rahman,54,48,5,1054,65,24.51,1127,93.52,0,5,3,0
CR Woakes,80,56,18,1039,95,27.34,1145,90.74,0,4,5,0
Anamul Haque,37,34,0,1038,120,30.52,1464,70.9,3,3,6,0
E Lewis,35,32,1,1010,176,32.58,1227,82.31,2,3,1,0
KOA Powell,46,44,0,1005,83,22.84,1278,78.63,0,9,4,0
AD Russell,52,44,9,998,92,28.51,765,130.45,0,4,5,0
Haris Sohail,26,25,3,960,89,43.63,1175,81.7,0,10,1,0
JDS Neesham,44,40,9,934,74,30.12,910,102.63,0,5,2,0
Javed Ahmadi,40,37,0,925,81,25,1191,77.66,0,7,1,0
TD Paine,35,35,3,890,111,27.81,1257,70.8,1,5,1,0
KM Jadhav,48,31,10,884,120,42.09,819,107.93,2,3,2,0
SF Mire,40,40,0,840,112,21,1015,82.75,1,3,4,0
Imam-ul-Haq,16,16,3,819,128,63,1001,81.81,4,3,1,0
HM Nicholls,33,31,9,814,124,37,913,89.15,1,6,4,0
MJ Santner,53,42,15,771,67,28.55,846,91.13,0,2,3,0
SO Hetmyer,20,20,0,758,127,37.9,709,106.91,3,2,1,0
Gulbadin Naib,49,41,8,757,82,22.93,1061,71.34,0,5,5,0
AG Cremer,96,71,20,744,58,14.58,1196,62.2,0,1,7,0
MP Stoinis,21,21,4,721,146,42.41,734,98.22,1,5,1,0
PJ Moor,42,39,3,698,52,19.38,1089,64.09,0,3,2,0
Rashid Khan,52,38,7,676,60,21.8,668,101.19,0,3,2,0
Hashmatullah Shahidi,25,25,5,675,97,33.75,1057,63.85,0,5,3,0
HH Pandya,42,27,4,670,83,29.13,585,114.52,0,4,2,0
R Powell,34,31,3,670,101,23.92,806,83.12,1,2,2,0
TG Southee,137,83,30,660,55,12.45,658,100.3,0,1,12,0
DM de Silva,28,26,4,593,84,26.95,741,80.02,0,4,2,0
LE Plunkett,74,44,15,582,56,20.06,585,99.48,0,1,3,0
DAS Gunaratne,31,25,4,575,114,27.38,724,79.41,1,1,0,0
BJ Watling,28,25,2,573,96,24.91,838,68.37,0,5,3,0
Mominul Haque,28,26,1,557,60,22.28,749,74.36,0,3,1,0
JN Mohammed,28,24,1,551,91,23.95,795,69.3,0,4,2,0
SL Malinga,213,109,34,534,56,7.12,697,76.61,0,1,25,0
AU Rashid,78,34,9,514,69,20.56,501,102.59,0,1,2,0
Liton Das,24,24,1,505,121,21.95,621,81.32,1,1,4,0
Dawlat Zadran,72,49,25,500,47,20.83,624,80.12,0,0,5,0
Imad Wasim,32,22,9,480,63,36.92,508,94.48,0,4,1,0
MK Pandey,23,18,6,440,104,36.66,479,91.85,1,2,2,0
B Kumar,95,44,14,440,53,14.66,598,73.57,0,1,7,0
GH Dockrell,77,49,22,436,62,16.14,612,71.24,0,1,4,0
Shafiqullah,24,21,2,430,56,22.63,408,105.39,0,2,4,0
S Prasanna,40,37,3,421,95,12.38,445,94.6,0,2,7,0
AK Markram,16,16,0,407,66,25.43,462,88.09,0,1,1,0
CH Morris,34,23,3,393,62,19.65,404,97.27,0,1,0,0
C de Grandhomme,22,18,5,392,74,30.15,370,105.94,0,1,1,0
AR Nurse,40,33,11,368,44,16.72,393,93.63,0,0,2,0
DW Steyn,119,48,12,361,60,10.02,545,66.23,0,1,7,0
